cenario_id,linha,modo,Idade,TPC,Volume,DB_SGF,Kappa,pct_A,pct_B,pct_C,pct_D,pct_MG
QM-PART01,65,A,6.999265416177824,65.07631561635613,8563.71998,486.2907782338593,15.26700897922681,0.6607969449276645,0.0001003734360777,0.0326249761379983,0.0,0.3064777054982594
QM-PART01,66,A,7.019465681206998,83.01203654965796,8541.529999999999,490.4315008318183,15.00863998956891,0.3290874117400512,0.0,0.0,0.5754144749242817,0.095498113335667
QM-PART01,67,A,6.326052445083498,48.85078727817628,8735.54,475.4849683133498,16.19068717956543,0.2643030654086639,0.3752303807205965,0.0,0.1749931887439128,0.1854733651268267
QM-PART01,68,A,7.392167397834646,68.54969213298779,8760.16,491.421811989083,16.797786224929,0.5844253986228563,0.0,0.233750296798232,0.0,0.1818243045789118
QM-PART01,69,A,6.387253982049917,68.43414323954323,9802.74,484.1515013455422,15.89860130533559,0.6027804470994845,0.1818828205175288,0.0,0.0,0.2153367323829868
QM-PART01,70,A,6.864284083508564,34.40316285299134,7914.5,486.7975717985975,16.74881629862614,0.2064565038852739,0.0,0.5058323330595742,0.0,0.2877111630551519
QM-PART01,71,A,6.101494495350609,52.17938953391707,7518.190000000001,473.7876216642889,16.32713586111128,0.2143906977610302,0.6186888067473687,0.0,0.0,0.166920495491601
QM-PART01,72,A,6.454968846212431,62.58253702823258,8812.869999999999,481.7313727423643,15.95274836104205,0.0204371561137291,0.4482183443078135,0.2635758839061509,0.1396230739815747,0.1281455416907319
QM-PART01,73,A,6.254924829218258,73.65681797816057,8618.89999,484.679265700715,17.09133340929127,0.5218448392739733,0.0074774855346708,0.4630627510042613,0.0,0.0076149241870945
QM-PART01,74,A,6.634438335885894,97.84736674704516,8592.68,466.5249752580103,16.06568693179306,0.0715259965458972,0.2541279321468972,0.5895948644660338,0.0,0.0847512068411717
QM-PART01,75,A,6.358204592340628,101.8810584807885,8937.18,494.1599889637075,16.04499075739997,0.4892158376579637,0.157357242441128,0.0,0.0,0.3534269199009083
QM-PART01,76,A,6.727096098021103,111.6915142378723,8205.58,488.2870515429744,16.28604429638447,0.0,0.3414347310001243,0.5521120993275307,0.0,0.1064531696723449
